"filename", "language", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript", "TypeScript React", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\package-lock.json", "JSON", 0, 0, 33629, 0, 0, 0, 0, 0, 0, 0, 1, 33630
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\package.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 8, 48
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\components\Carousel.tsx", "TypeScript React", 0, 0, 0, 0, 0, 72, 0, 0, 0, 8, 6, 86
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\components\Footer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 53
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\components\LoginComponent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 140, 0, 0, 0, 5, 13, 158
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\hooks\useAPIFeatures.tsx", "TypeScript React", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\layouts\AboutLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\layouts\AccountLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 5, 66
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\layouts\ContactLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\layouts\RootLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 4, 57
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\main.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\pages\Faq.tsx", "TypeScript React", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\pages\Home.tsx", "TypeScript React", 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 2, 44
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\theme\components\Buttons.tsx", "TypeScript React", 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 4, 56
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\theme\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\theme\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\theme\styles.tsx", "TypeScript React", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\tsconfig.node.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\client\vite.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\Interfaces\Interfaces.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\config\config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 1, 29
